police_station,h3_cell,location_name,lat,lon,priority_rank,priority_score,CIS,predicted_risk,trend_direction,hotspot_status,recommended_shift,peak_hour,bpr_delay,violation_count,reasoning
Jeevanbheemanagar,8961892530bffff,Jeevanbheemanagar / Cell-0bffff,12.95935826788074,77.64545430985342,2,11.3,33.6,33.6,STABLE,EMERGING,night_shift,3:00,0.11,565,Standard priority zone
Jeevanbheemanagar,89618925343ffff,Jeevanbheemanagar / Cell-43ffff,12.962213439350329,77.6491254724116,3,8.3,28.8,28.8,STABLE,EMERGING,morning_shift,9:00,0.11,95,Standard priority zone
Jeevanbheemanagar,8961892537bffff,Jeevanbheemanagar / Cell-7bffff,12.964347839355469,77.64412348801346,4,6.5,28.5,22.8,UNKNOWN,NOT_HOTSPOT,morning_shift,8:00,0.11,1,Peak hour concentration (100%)
Jeevanbheemanagar,8961892ecabffff,Jeevanbheemanagar / Cell-abffff,12.974501546911227,77.64585542701273,5,6.4,22.2,28.8,RISING,EMERGING,morning_shift,4:00,0.11,30,Violations RISING — proactive enforcement needed
Jnanabharathi,8960145ae4bffff,Jnanabharathi / Cell-4bffff,12.960901703144652,77.51143182327044,1,9.9,27.7,35.9,RISING,EMERGING,morning_shift,12:00,0.11,159,Violations RISING — proactive enforcement needed
Jnanabharathi,89601458547ffff,Jnanabharathi / Cell-47ffff,12.978992375,77.511328875,2,9.2,26.7,34.7,RISING,NOT_HOTSPOT,morning_shift,10:00,0.11,8,Violations RISING — proactive enforcement needed | Peak hour concentration (75%)
Jnanabharathi,8960145a123ffff,Jnanabharathi / Cell-23ffff,12.9346714,77.5130154,3,7.5,30.6,24.5,UNKNOWN,NOT_HOTSPOT,morning_shift,7:00,0.11,1,Heavy vehicles dominant (BUS (BMTC/KSRTC))
Jnanabharathi,8960145ae23ffff,Jnanabharathi / Cell-23ffff,12.950402114865817,77.49654485171612,4,6.7,28.9,23.1,UNKNOWN,NOT_HOTSPOT,morning_shift,11:00,0.11,2,Heavy vehicles dominant (MINI LORRY)
Jnanabharathi,896014581b7ffff,Jnanabharathi / Cell-b7ffff,12.9761329,77.4883794,5,4.9,24.8,19.9,UNKNOWN,NOT_HOTSPOT,morning_shift,12:00,0.11,2,Heavy vehicles dominant (LGV)
K.G. Halli,8961892cc57ffff,K.G. Halli / Cell-57ffff,13.03473938153846,77.62440522115384,1,17.3,41.6,41.6,STABLE,EMERGING,night_shift,4:00,0.11,260,Moderate congestion impact (CIS=42/100) | 13 repeat offenders identified
K.G. Halli,8961892cccfffff,K.G. Halli / Cell-cfffff,13.032935072972972,77.6273558,2,11.6,29.9,38.8,RISING,EMERGING,night_shift,2:00,0.11,37,Violations RISING — proactive enforcement needed
K.G. Halli,8961892cc43ffff,K.G. Halli / Cell-43ffff,13.03722662315166,77.6253737095122,3,7.8,27.9,27.9,STABLE,EMERGING,night_shift,4:00,0.11,41,Heavy vehicles dominant (HGV)
K.G. Halli,8961892c893ffff,K.G. Halli / Cell-93ffff,13.0377251,77.6099868,4,5.8,26.8,21.5,UNKNOWN,NOT_HOTSPOT,night_shift,3:00,0.11,2,Heavy vehicles dominant (TRACTOR)
K.G. Halli,8961892ccb3ffff,K.G. Halli / Cell-b3ffff,13.019821245454546,77.61889345454546,5,3.7,19.3,19.3,STABLE,NOT_HOTSPOT,morning_shift,10:00,0.07,11,Peak hour concentration (73%)
K.R. Pura,8961892e6cbffff,K.R. Pura / Cell-cbffff,13.003459968253969,77.72348583968254,1,15.6,39.5,39.5,STABLE,EMERGING,night_shift,4:00,0.07,126,Standard priority zone
K.R. Pura,8961892e2b7ffff,K.R. Pura / Cell-b7ffff,13.0063383,77.69093,2,8.1,31.8,25.5,UNKNOWN,NOT_HOTSPOT,evening_shift,19:00,0.11,2,Peak hour concentration (100%)
K.R. Pura,8961892f51bffff,K.R. Pura / Cell-1bffff,13.0256155,77.7200726,3,7.5,30.6,24.5,UNKNOWN,NOT_HOTSPOT,morning_shift,7:00,0.11,1,Heavy vehicles dominant (HGV)
K.R. Pura,8961892f66fffff,K.R. Pura / Cell-6fffff,13.063394,77.7361362,4,7.5,30.6,24.5,UNKNOWN,NOT_HOTSPOT,night_shift,4:00,0.11,1,Heavy vehicles dominant (HGV)
K.R. Pura,8961892f67bffff,K.R. Pura / Cell-7bffff,13.062043533333332,77.74194519999999,5,7.4,30.5,24.4,UNKNOWN,NOT_HOTSPOT,night_shift,3:00,0.11,3,Heavy vehicles dominant (HGV)
K.S. Layout,8961892482bffff,K.S. Layout / Cell-2bffff,12.891495925,77.56390568333333,1,6.8,22.9,29.8,RISING,NOT_HOTSPOT,morning_shift,10:00,0.11,12,Violations RISING — proactive enforcement needed | Peak hour concentration (75%)
K.S. Layout,89618924877ffff,K.S. Layout / Cell-77ffff,12.893815060869564,77.56782184347826,2,5.8,28.7,20.1,FALLING,NOT_HOTSPOT,morning_shift,11:00,0.11,46,Violations declining — maintain presence
K.S. Layout,89618924a33ffff,K.S. Layout / Cell-33ffff,12.908093399999998,77.5707018,3,4.8,19.2,25.0,RISING,NOT_HOTSPOT,morning_shift,12:00,0.11,5,Violations RISING — proactive enforcement needed
K.S. Layout,8960145a59bffff,K.S. Layout / Cell-9bffff,12.91345284781601,77.5466781590894,4,4.6,18.7,24.4,RISING,NOT_HOTSPOT,morning_shift,11:00,0.11,3,Violations RISING — proactive enforcement needed
K.S. Layout,8960145a5b7ffff,K.S. Layout / Cell-b7ffff,12.907805651852325,77.53289302437807,5,4.4,20.9,20.9,STABLE,NOT_HOTSPOT,night_shift,5:00,0.11,55,Standard priority zone
Kamakshipalya,896014580c7ffff,Kamakshipalya / Cell-c7ffff,12.99164858181818,77.52097507272728,1,8.3,25.3,32.9,RISING,NOT_HOTSPOT,morning_shift,10:00,0.05,11,Violations RISING — proactive enforcement needed | Heavy vehicles dominant (HGV) | Peak hour concentration (91%)
Kamakshipalya,896014580cfffff,Kamakshipalya / Cell-cfffff,12.9973578,77.5211732,2,5.8,26.9,21.5,UNKNOWN,NOT_HOTSPOT,morning_shift,10:00,0.07,1,Heavy vehicles dominant (MINI LORRY) | Peak hour concentration (100%)
Kamakshipalya,8960145808bffff,Kamakshipalya / Cell-8bffff,12.98800645,77.5203307,3,4.2,17.9,23.3,RISING,NOT_HOTSPOT,night_shift,4:00,0.11,4,Violations RISING — proactive enforcement needed
Kamakshipalya,8960145855bffff,Kamakshipalya / Cell-5bffff,12.980443683333334,77.51713883333333,4,4.0,22.3,17.9,UNKNOWN,NOT_HOTSPOT,night_shift,1:00,0.07,6,Heavy vehicles dominant (PRIVATE BUS)
Kamakshipalya,89601458ecbffff,Kamakshipalya / Cell-cbffff,13.004302675,77.4876964,5,3.6,16.7,21.7,RISING,NOT_HOTSPOT,morning_shift,9:00,0.07,4,Violations RISING — proactive enforcement needed | Peak hour concentration (100%)
Kengeri,89601451847ffff,Kengeri / Cell-47ffff,12.8963282,77.4548149,1,6.5,28.5,22.8,UNKNOWN,NOT_HOTSPOT,morning_shift,10:00,0.11,1,Peak hour concentration (100%)
Kengeri,896014512a7ffff,Kengeri / Cell-a7ffff,12.9039264,77.5108473,2,5.0,24.9,19.9,UNKNOWN,NOT_HOTSPOT,morning_shift,10:00,0.07,1,Heavy vehicles dominant (LGV) | Peak hour concentration (100%)
Kengeri,8960145187bffff,Kengeri / Cell-7bffff,12.896729933333331,77.45337496666667,3,4.0,22.2,17.8,UNKNOWN,NOT_HOTSPOT,morning_shift,8:00,0.07,3,Heavy vehicles dominant (LGV) | Peak hour concentration (67%)
Kengeri,8960145ad2bffff,Kengeri / Cell-2bffff,12.9234668,77.4728372,4,3.5,20.9,16.7,UNKNOWN,NOT_HOTSPOT,night_shift,4:00,0.07,1,Heavy vehicles dominant (HGV)
Kengeri,8960145120fffff,Kengeri / Cell-0fffff,12.91424985,77.51440935,5,3.5,18.6,18.6,STABLE,NOT_HOTSPOT,morning_shift,7:00,0.11,2,Standard priority zone
Kodigehalli,896016964b7ffff,Kodigehalli / Cell-b7ffff,13.07137061077048,77.58802158301225,1,20.9,40.1,52.2,RISING,CONFIRMED_HIGH,morning_shift,11:00,0.07,2367,Moderate congestion impact (CIS=40/100) | Violations RISING — proactive enforcement needed | 41 repeat offenders identified
Kodigehalli,8961892cb4fffff,Kodigehalli / Cell-4fffff,13.071126911463786,77.58826263864174,2,11.7,30.0,39.1,RISING,CONFIRMED_HIGH,morning_shift,11:00,0.07,1027,Violations RISING — proactive enforcement needed | 15 repeat offenders identified
Kodigehalli,8961892c9b3ffff,Kodigehalli / Cell-b3ffff,13.029150660526316,77.58093466052632,3,11.3,29.5,38.4,RISING,EMERGING,morning_shift,10:00,0.11,38,Violations RISING — proactive enforcement needed | Peak hour concentration (79%)
Kodigehalli,8961892cb7bffff,Kodigehalli / Cell-7bffff,13.070322412635983,77.58745858242678,4,11.1,29.3,38.1,RISING,CONFIRMED_HIGH,morning_shift,11:00,0.07,1195,Violations RISING — proactive enforcement needed | 28 repeat offenders identified
Kodigehalli,8961892cb8fffff,Kodigehalli / Cell-8fffff,13.05445068,77.58961767,5,10.2,28.0,36.4,RISING,NOT_HOTSPOT,morning_shift,8:00,0.11,10,Violations RISING — proactive enforcement needed | Peak hour concentration (60%)
Madiwala,89618924263ffff,Madiwala / Cell-63ffff,12.916928899999998,77.63140920000001,1,8.4,32.4,25.9,UNKNOWN,NOT_HOTSPOT,morning_shift,9:00,0.11,4,Peak hour concentration (100%)
Madiwala,89618924237ffff,Madiwala / Cell-37ffff,12.90774824,77.62795556,2,7.6,24.1,31.4,RISING,EMERGING,morning_shift,10:00,0.11,5,Violations RISING — proactive enforcement needed
Madiwala,89618925c13ffff,Madiwala / Cell-13ffff,12.9230268,77.6223282,3,6.5,28.6,22.8,UNKNOWN,NOT_HOTSPOT,night_shift,2:00,0.11,1,Heavy vehicles dominant (LORRY/GOODS VEHICLE)
Madiwala,896189243d3ffff,Madiwala / Cell-d3ffff,12.902853083333332,77.6246713,4,5.6,23.7,23.7,STABLE,EMERGING,morning_shift,10:00,0.11,6,Standard priority zone
Madiwala,8961892438bffff,Madiwala / Cell-8bffff,12.89936450107508,77.61813072260472,5,4.9,22.1,22.1,STABLE,NOT_HOTSPOT,morning_shift,3:00,0.11,3,Standard priority zone
Magadi Road,8960145a24fffff,Magadi Road / Cell-4fffff,12.973560736313356,77.55095972182062,1,15.0,38.7,38.7,STABLE,EMERGING,morning_shift,11:00,0.11,1823,13 repeat offenders identified
Magadi Road,8960145b567ffff,Magadi Road / Cell-67ffff,12.977256508333332,77.56132265000001,2,8.0,24.7,32.2,RISING,EMERGING,morning_shift,9:00,0.11,12,Violations RISING — proactive enforcement needed | Peak hour concentration (67%)
Magadi Road,8960145a24bffff,Magadi Road / Cell-4bffff,12.974451499464024,77.55207251704448,3,7.5,24.1,31.3,RISING,EMERGING,morning_shift,11:00,0.11,277,Violations RISING — proactive enforcement needed
Magadi Road,8960145a253ffff,Magadi Road / Cell-53ffff,12.96909372,77.55479127999999,4,7.1,23.3,30.3,RISING,NOT_HOTSPOT,night_shift,3:00,0.11,5,Violations RISING — proactive enforcement needed
Magadi Road,8960145a2cfffff,Magadi Road / Cell-cfffff,12.964508859159158,77.55439666996998,5,7.0,26.5,26.5,STABLE,EMERGING,morning_shift,11:00,0.11,333,6 repeat offenders identified
Mahadevapura,896189219cfffff,Mahadevapura / Cell-cfffff,12.987585530590716,77.73468063059072,1,10.3,28.2,36.6,RISING,EMERGING,night_shift,4:00,0.06,474,Violations RISING — proactive enforcement needed | 12 repeat offenders identified
Mahadevapura,8961892e047ffff,Mahadevapura / Cell-47ffff,12.998811494,77.69280017,2,8.8,26.1,33.9,RISING,EMERGING,night_shift,1:00,0.11,50,Violations RISING — proactive enforcement needed
Mahadevapura,8961892f4d3ffff,Mahadevapura / Cell-d3ffff,13.0282733,77.7507203,3,7.6,30.9,24.7,UNKNOWN,NOT_HOTSPOT,morning_shift,10:00,0.07,1,Heavy vehicles dominant (HGV) | Peak hour concentration (100%)
Mahadevapura,8961892e4c3ffff,Mahadevapura / Cell-c3ffff,12.977660273083089,77.71595479401992,4,7.5,30.7,24.5,UNKNOWN,NOT_HOTSPOT,night_shift,1:00,0.11,1,Heavy vehicles dominant (PRIVATE BUS)
Mahadevapura,896189219abffff,Mahadevapura / Cell-abffff,12.980447523076922,77.72651837692307,5,6.5,22.4,29.2,RISING,EMERGING,morning_shift,7:00,0.11,13,Violations RISING — proactive enforcement needed
Malleshwaram,8960145b307ffff,Malleshwaram / Cell-07ffff,13.008431898797966,77.55468794479889,1,13.5,32.3,41.9,RISING,EMERGING,morning_shift,10:00,0.07,2163,Violations RISING — proactive enforcement needed | 34 repeat offenders identified
Malleshwaram,8960145b30fffff,Malleshwaram / Cell-0fffff,13.011185091408777,77.55449988318706,2,13.3,32.0,41.6,RISING,CONFIRMED_HIGH,morning_shift,9:00,0.07,2165,Violations RISING — proactive enforcement needed | 15 repeat offenders identified
Malleshwaram,8960145b333ffff,Malleshwaram / Cell-33ffff,13.005847175,77.54970885,3,7.2,23.6,30.6,RISING,EMERGING,morning_shift,7:00,0.11,4,Violations RISING — proactive enforcement needed
Malleshwaram,8960145b073ffff,Malleshwaram / Cell-73ffff,12.999282810873476,77.57135680890522,4,7.1,23.4,30.4,RISING,EMERGING,morning_shift,10:00,0.05,1147,Violations RISING — proactive enforcement needed | Peak hour concentration (51%)
Malleshwaram,8960145b38bffff,Malleshwaram / Cell-8bffff,13.00507878,77.56232918,5,6.6,25.7,25.7,STABLE,NOT_HOTSPOT,morning_shift,8:00,0.11,5,Peak hour concentration (60%)
Mico Layout,89618925d97ffff,Mico Layout / Cell-97ffff,12.908056736745888,77.60080520182815,1,11.9,30.2,39.3,RISING,EMERGING,morning_shift,11:00,0.11,547,Violations RISING — proactive enforcement needed | 23 repeat offenders identified
Mico Layout,8961892436fffff,Mico Layout / Cell-6fffff,12.913755559515572,77.60743265397925,2,10.0,27.7,36.0,RISING,EMERGING,morning_shift,12:00,0.07,289,Violations RISING — proactive enforcement needed
Mico Layout,89618925d9bffff,Mico Layout / Cell-9bffff,12.913563295321635,77.60497335614035,3,9.3,30.5,30.5,STABLE,EMERGING,morning_shift,5:00,0.07,171,Standard priority zone
Mico Layout,89618925897ffff,Mico Layout / Cell-97ffff,12.930881994428152,77.60653515454545,4,7.7,24.3,31.6,RISING,EMERGING,night_shift,2:00,0.07,341,Violations RISING — proactive enforcement needed | 27 repeat offenders identified
Mico Layout,89618925ddbffff,Mico Layout / Cell-dbffff,12.92004361923077,77.61039271538462,5,6.7,22.6,29.4,RISING,EMERGING,morning_shift,11:00,0.07,52,Violations RISING — proactive enforcement needed
No Police Station,89601459843ffff,No Police Station / Cell-43ffff,13.0534833,77.4893923,1,13.2,40.6,32.5,UNKNOWN,NOT_HOTSPOT,morning_shift,8:00,0.11,1,Moderate congestion impact (CIS=41/100) | Heavy vehicles dominant (HGV) | Peak hour concentration (100%)
No Police Station,89601459863ffff,No Police Station / Cell-63ffff,13.05437325,77.482257375,2,4.9,19.4,25.3,RISING,EMERGING,morning_shift,12:00,0.07,12,Violations RISING — proactive enforcement needed | Heavy vehicles dominant (HGV)
No Police Station,89601459857ffff,No Police Station / Cell-57ffff,13.051225857142857,77.49014098571429,3,3.9,17.4,22.7,RISING,NOT_HOTSPOT,morning_shift,2:00,0.07,7,Violations RISING — proactive enforcement needed | Heavy vehicles dominant (CAR)
No Police Station,8960145987bffff,No Police Station / Cell-7bffff,13.053443707142858,77.48504487142857,4,3.6,16.7,21.7,RISING,EMERGING,morning_shift,12:00,0.07,14,Violations RISING — proactive enforcement needed | Heavy vehicles dominant (CAR)
No Police Station,89601459b9bffff,No Police Station / Cell-9bffff,13.056081516666666,77.47706275,5,3.5,22.4,15.7,FALLING,NOT_HOTSPOT,morning_shift,12:00,0.07,6,Violations declining — maintain presence | Heavy vehicles dominant (HGV)
Peenya,8960145910bffff,Peenya / Cell-0bffff,13.0432662,77.5251378,1,7.6,30.9,24.7,UNKNOWN,NOT_HOTSPOT,morning_shift,10:00,0.07,1,Heavy vehicles dominant (HGV) | Peak hour concentration (100%)
Peenya,89601459ccbffff,Peenya / Cell-cbffff,13.033519433333334,77.51280113333333,2,6.2,21.8,28.4,RISING,NOT_HOTSPOT,morning_shift,4:00,0.07,3,Violations RISING — proactive enforcement needed | Heavy vehicles dominant (HGV) | Peak hour concentration (67%)
Peenya,89601459c03ffff,Peenya / Cell-03ffff,13.031507677777777,77.50361984444446,3,5.0,19.6,25.4,RISING,NOT_HOTSPOT,night_shift,2:00,0.11,9,Violations RISING — proactive enforcement needed
Peenya,896014583cbffff,Peenya / Cell-cbffff,13.01103836923077,77.50664908461539,4,3.8,17.2,22.3,RISING,NOT_HOTSPOT,morning_shift,9:00,0.07,26,Violations RISING — proactive enforcement needed
Peenya,8960145913bffff,Peenya / Cell-3bffff,13.03987725957447,77.51856869361703,5,3.7,17.0,22.1,RISING,EMERGING,morning_shift,11:00,0.07,235,Violations RISING — proactive enforcement needed
Pulikeshinagar(F.Town),8961892eb8fffff,Pulikeshinagar(F.Town) / Cell-8fffff,13.002663325,77.6181029,1,4.7,19.0,24.7,RISING,NOT_HOTSPOT,morning_shift,6:00,0.11,8,Violations RISING — proactive enforcement needed
Pulikeshinagar(F.Town),8961892ebc7ffff,Pulikeshinagar(F.Town) / Cell-c7ffff,13.006779584313726,77.62129347843138,2,4.4,18.4,23.9,RISING,EMERGING,night_shift,4:00,0.07,102,Violations RISING — proactive enforcement needed | 7 repeat offenders identified
Pulikeshinagar(F.Town),8961892eba3ffff,Pulikeshinagar(F.Town) / Cell-a3ffff,13.00031134079861,77.6113066921875,3,4.2,17.9,23.2,RISING,EMERGING,morning_shift,11:00,0.07,576,Violations RISING — proactive enforcement needed | 6 repeat offenders identified
Pulikeshinagar(F.Town),8961892e90bffff,Pulikeshinagar(F.Town) / Cell-0bffff,12.990031738636365,77.61239221818181,4,3.8,23.4,16.4,FALLING,EMERGING,morning_shift,11:00,0.11,44,Violations declining — maintain presence
Pulikeshinagar(F.Town),8961892e96fffff,Pulikeshinagar(F.Town) / Cell-6fffff,12.995179333333333,77.60615445,5,3.4,18.5,18.5,STABLE,NOT_HOTSPOT,night_shift,2:00,0.11,6,Standard priority zone
R.T. Nagar,8960145b6d3ffff,R.T. Nagar / Cell-d3ffff,12.998094072727271,77.60572002424242,1,8.2,25.1,32.6,RISING,EMERGING,morning_shift,5:00,0.11,33,Violations RISING — proactive enforcement needed
R.T. Nagar,8960145b603ffff,R.T. Nagar / Cell-03ffff,13.00123808064516,77.59543466989247,2,7.4,23.8,31.0,RISING,EMERGING,morning_shift,11:00,0.11,93,Violations RISING — proactive enforcement needed | 7 repeat offenders identified
R.T. Nagar,8960145b25bffff,R.T. Nagar / Cell-5bffff,13.024011943973813,77.58503600727205,3,5.1,19.9,25.8,RISING,EMERGING,morning_shift,10:00,0.07,368,Violations RISING — proactive enforcement needed
R.T. Nagar,8961892cd77ffff,R.T. Nagar / Cell-77ffff,13.0269404,77.59413726666666,4,3.7,19.3,19.3,STABLE,NOT_HOTSPOT,morning_shift,6:00,0.11,3,Standard priority zone
R.T. Nagar,8960145b2cfffff,R.T. Nagar / Cell-cfffff,13.018704063157896,77.58477943157895,5,3.7,22.9,16.0,FALLING,NOT_HOTSPOT,night_shift,3:00,0.11,19,Violations declining — maintain presence
Rajajinagar,8960145b323ffff,Rajajinagar / Cell-23ffff,13.008183868464243,77.54859522403282,1,18.6,37.9,49.2,RISING,EMERGING,morning_shift,10:00,0.11,853,Violations RISING — proactive enforcement needed | Peak hour concentration (67%) | 47 repeat offenders identified
Rajajinagar,8960145b147ffff,Rajajinagar / Cell-47ffff,12.99283892549536,77.5534142566107,2,17.7,36.9,48.0,RISING,CONFIRMED_HIGH,night_shift,3:00,0.07,878,Violations RISING — proactive enforcement needed | 69 repeat offenders identified
Rajajinagar,89601458627ffff,Rajajinagar / Cell-27ffff,12.99999042987013,77.52518655714286,3,12.4,35.2,35.2,STABLE,EMERGING,morning_shift,11:00,0.11,77,Standard priority zone
Rajajinagar,8960145b10bffff,Rajajinagar / Cell-0bffff,12.989742629589042,77.55317198767123,4,10.5,28.4,37.0,RISING,CONFIRMED_HIGH,night_shift,3:00,0.07,365,Violations RISING — proactive enforcement needed | 10 repeat offenders identified
Rajajinagar,8960145b17bffff,Rajajinagar / Cell-7bffff,12.994668192653062,77.55208603877551,5,9.2,30.4,30.4,STABLE,CONFIRMED_HIGH,night_shift,3:00,0.11,245,Standard priority zone
Sadashivanagar,896014594cfffff,Sadashivanagar / Cell-cfffff,13.033135155,77.568545745,1,6.6,22.6,29.4,RISING,NOT_HOTSPOT,morning_shift,4:00,0.11,20,Violations RISING — proactive enforcement needed
Sadashivanagar,8960145b213ffff,Sadashivanagar / Cell-13ffff,13.0139987,77.5796772,2,6.5,28.5,22.8,UNKNOWN,NOT_HOTSPOT,morning_shift,8:00,0.11,1,Peak hour concentration (100%)
Sadashivanagar,896014594d3ffff,Sadashivanagar / Cell-d3ffff,13.028260794945057,77.57264249142857,3,5.2,20.0,26.0,RISING,EMERGING,morning_shift,11:00,0.07,455,Violations RISING — proactive enforcement needed | 7 repeat offenders identified
Sadashivanagar,8960145b2b7ffff,Sadashivanagar / Cell-b7ffff,13.004590871428572,77.57212455714286,4,4.8,19.3,25.0,RISING,EMERGING,night_shift,4:00,0.11,7,Violations RISING — proactive enforcement needed
Sadashivanagar,896014594d7ffff,Sadashivanagar / Cell-d7ffff,13.028930877922075,77.57078892857143,5,4.5,21.3,21.3,STABLE,EMERGING,morning_shift,7:00,0.11,77,Standard priority zone
Sheshadripuram,8960145b02fffff,Sheshadripuram / Cell-2fffff,12.996312090697671,77.56315291881607,1,14.6,38.2,38.2,STABLE,EMERGING,morning_shift,9:00,0.11,473,Peak hour concentration (50%) | 32 repeat offenders identified
Sheshadripuram,8960145b037ffff,Sheshadripuram / Cell-37ffff,12.9914904,77.565152,2,4.8,24.6,19.6,UNKNOWN,NOT_HOTSPOT,night_shift,1:00,0.11,1,Heavy vehicles dominant (LGV)
Sheshadripuram,8960145b053ffff,Sheshadripuram / Cell-53ffff,12.9982218104,77.58167474,3,4.4,20.9,20.9,STABLE,EMERGING,morning_shift,9:00,0.07,125,Peak hour concentration (54%)
Sheshadripuram,8960145b023ffff,Sheshadripuram / Cell-23ffff,12.993915857142856,77.56613522857143,4,4.3,24.8,17.3,FALLING,NOT_HOTSPOT,morning_shift,10:00,0.11,7,Violations declining — maintain presence | Peak hour concentration (57%)
Sheshadripuram,8960145b0cbffff,Sheshadripuram / Cell-cbffff,12.996643439473685,77.58418768114035,5,3.3,21.6,15.1,FALLING,EMERGING,morning_shift,10:00,0.07,228,Violations declining — maintain presence | Peak hour concentration (71%)
Shivajinagar,8961892e917ffff,Shivajinagar / Cell-17ffff,12.982282384777228,77.61066029148515,1,18.5,37.7,49.0,RISING,CONFIRMED_HIGH,morning_shift,10:00,0.07,4040,Violations RISING — proactive enforcement needed | 108 repeat offenders identified
Shivajinagar,8961892e9bbffff,Shivajinagar / Cell-bbffff,12.9808757008218,77.61015499056103,2,15.6,34.7,45.1,RISING,CONFIRMED_HIGH,morning_shift,10:00,0.07,3157,Violations RISING — proactive enforcement needed | Peak hour concentration (50%) | 63 repeat offenders identified
Shivajinagar,8960145b4cbffff,Shivajinagar / Cell-cbffff,12.98127650928931,77.59855050145495,3,13.2,36.3,36.3,STABLE,EMERGING,morning_shift,4:00,0.11,1787,142 repeat offenders identified
Shivajinagar,8961892e9abffff,Shivajinagar / Cell-abffff,12.981655948531362,77.60786495755163,4,12.1,41.5,29.1,FALLING,CONFIRMED_HIGH,morning_shift,10:00,0.07,5277,Moderate congestion impact (CIS=42/100) | Violations declining — maintain presence | Peak hour concentration (51%) | 222 repeat offenders identified
Shivajinagar,8961892e937ffff,Shivajinagar / Cell-37ffff,12.983845418565798,77.60334447875874,5,9.6,31.0,31.0,STABLE,CONFIRMED_HIGH,morning_shift,10:00,0.07,2311,34 repeat offenders identified
Thalagattapura,8961892493bffff,Thalagattapura / Cell-3bffff,12.881958980298904,77.54630107548562,1,5.0,19.6,25.5,RISING,NOT_HOTSPOT,morning_shift,6:00,0.11,14,Violations RISING — proactive enforcement needed
Thalagattapura,89618924903ffff,Thalagattapura / Cell-03ffff,12.8805659,77.5520734,2,5.0,24.9,19.9,UNKNOWN,NOT_HOTSPOT,morning_shift,10:00,0.07,1,Heavy vehicles dominant (LGV) | Peak hour concentration (100%)
Thalagattapura,896189249abffff,Thalagattapura / Cell-abffff,12.8767663,77.5456411,3,4.8,24.6,19.6,UNKNOWN,NOT_HOTSPOT,morning_shift,13:00,0.11,1,Heavy vehicles dominant (LGV)
Thalagattapura,89601451097ffff,Thalagattapura / Cell-97ffff,12.8778133,77.517105,4,4.8,24.5,19.6,UNKNOWN,NOT_HOTSPOT,morning_shift,9:00,0.11,1,Peak hour concentration (100%)
Thalagattapura,89618924d57ffff,Thalagattapura / Cell-57ffff,12.8712402,77.57030412499999,5,3.7,21.4,17.1,UNKNOWN,NOT_HOTSPOT,night_shift,4:00,0.11,4,Standard priority zone
Upparpet,8960145b5cbffff,Upparpet / Cell-cbffff,12.973756489804275,77.57866179377075,1,25.5,44.2,57.5,RISING,CONFIRMED_HIGH,morning_shift,9:00,0.11,5086,Moderate congestion impact (CIS=44/100) | Violations RISING — proactive enforcement needed | 155 repeat offenders identified
Upparpet,8960145b553ffff,Upparpet / Cell-53ffff,12.976643712847023,77.57632550358989,2,24.8,59.5,41.6,FALLING,CONFIRMED_HIGH,morning_shift,9:00,0.08,10446,Moderate congestion impact (CIS=59/100) | Violations declining — maintain presence | 265 repeat offenders identified
Upparpet,8960145b427ffff,Upparpet / Cell-27ffff,12.977516395475778,77.5789348066636,3,18.4,51.2,35.9,FALLING,CONFIRMED_HIGH,morning_shift,1:00,0.11,6497,Moderate congestion impact (CIS=51/100) | Violations declining — maintain presence | 197 repeat offenders identified
Upparpet,8960145b55bffff,Upparpet / Cell-5bffff,12.979330620857596,77.5764326869243,4,8.0,28.3,28.3,STABLE,CONFIRMED_HIGH,morning_shift,1:00,0.07,1889,33 repeat offenders identified
Upparpet,8960145b437ffff,Upparpet / Cell-37ffff,12.975441326655895,77.58163518869144,5,7.5,24.0,31.2,RISING,CONFIRMED_HIGH,morning_shift,4:00,0.07,619,Violations RISING — proactive enforcement needed | 8 repeat offenders identified
V.V.Puram (C.Pet),89618925bafffff,V.V.Puram (C.Pet) / Cell-afffff,12.95098736,77.57858498499999,1,5.3,20.2,26.2,RISING,EMERGING,morning_shift,12:00,0.11,20,Violations RISING — proactive enforcement needed
V.V.Puram (C.Pet),8960145a6cbffff,V.V.Puram (C.Pet) / Cell-cbffff,12.951507603846151,77.57335026538462,2,3.5,22.5,15.7,FALLING,EMERGING,morning_shift,8:00,0.11,26,Violations declining — maintain presence | Peak hour concentration (54%)
V.V.Puram (C.Pet),8960145b597ffff,V.V.Puram (C.Pet) / Cell-97ffff,12.960297621666664,77.57236383666667,3,1.7,15.6,10.9,FALLING,EMERGING,morning_shift,9:00,0.07,60,Violations declining — maintain presence
V.V.Puram (C.Pet),8960145a64bffff,V.V.Puram (C.Pet) / Cell-4bffff,12.95874530678607,77.56998136625344,4,1.5,14.8,10.3,FALLING,EMERGING,morning_shift,8:00,0.07,61,Violations declining — maintain presence
V.V.Puram (C.Pet),8960145a65bffff,V.V.Puram (C.Pet) / Cell-5bffff,12.95769034489796,77.57198837755102,5,1.4,14.1,9.9,FALLING,EMERGING,morning_shift,8:00,0.07,49,Violations declining — maintain presence
